year,round,driverId,points,position,positionText,Wins
2010,2,rosberg,20,5,5,0
2010,2,kubica,18,6,6,0
2010,2,vettel,12,7,7,0
2010,2,michael_schumacher,9,8,8,0
2010,2,liuzzi,8,9,9,0
2010,2,webber,6,10,10,0
2010,2,barrichello,5,11,11,0
2010,2,alguersuari,0,12,12,0
2010,2,sutil,0,13,13,0
2010,2,rosa,0,14,14,0
2010,2,kovalainen,0,15,15,0
2010,2,chandhok,0,16,16,0
2010,2,hulkenberg,0,17,17,0
2010,2,buemi,0,18,18,0
2010,2,trulli,0,19,19,0
2010,2,bruno_senna,0,20,20,0
2010,2,glock,0,21,21,0
2010,2,petrov,0,22,22,0
2010,2,kobayashi,0,23,23,0
2010,2,grassi,0,24,24,0
2011,2,vettel,50,1,1,2
2011,2,button,26,2,2,0
2011,2,hamilton,22,3,3,0
2011,2,webber,22,4,4,0
2011,2,alonso,20,5,5,0
2011,2,massa,16,6,6,0
2011,2,heidfeld,15,7,7,0
2011,2,petrov,15,8,8,0
2011,2,kobayashi,6,9,9,0
2011,2,buemi,4,10,10,0
2011,2,sutil,2,11,11,0
2011,2,michael_schumacher,2,12,12,0
2011,2,resta,2,13,13,0
2011,2,alguersuari,0,14,14,0
2011,2,rosberg,0,15,15,0
2011,2,trulli,0,16,16,0
2011,2,ambrosio,0,17,17,0
2011,2,kovalainen,0,18,18,0
2011,2,glock,0,19,19,0
2011,2,perez,0,20,20,0
2011,2,barrichello,0,21,21,0
2011,2,liuzzi,0,22,22,0
2011,2,maldonado,0,23,23,0
2011,2,karthikeyan,0,24,24,0
2012,2,alonso,35,1,1,1
2012,2,hamilton,30,2,2,0
2012,2,button,25,3,3,1
2012,2,webber,24,4,4,0
2012,2,perez,22,5,5,0
2012,2,vettel,18,6,6,0
2012,2,raikkonen,16,7,7,0
2012,2,bruno_senna,8,8,8,0
2012,2,kobayashi,8,9,9,0
2012,2,resta,7,10,10,0
2012,2,vergne,4,11,11,0
2012,2,ricciardo,2,12,12,0
2012,2,hulkenberg,2,13,13,0
2012,2,michael_schumacher,1,14,14,0
2012,2,rosberg,0,15,15,0
2012,2,maldonado,0,16,16,0
2012,2,glock,0,17,17,0
2012,2,pic,0,18,18,0
2012,2,massa,0,19,19,0
2012,2,petrov,0,20,20,0
2012,2,kovalainen,0,21,21,0
2012,2,karthikeyan,0,22,22,0
2012,2,rosa,0,23,23,0
2012,2,grosjean,0,24,24,0
2013,2,vettel,40,1,1,1
2013,2,raikkonen,31,2,2,1
2013,2,webber,26,3,3,0
2013,2,hamilton,25,4,4,0
2013,2,massa,22,5,5,0
2013,2,alonso,18,6,6,0
2013,2,rosberg,12,7,7,0
2013,2,grosjean,9,8,8,0
2013,2,sutil,6,9,9,0
2013,2,resta,4,10,10,0
2013,2,hulkenberg,4,11,11,0
2013,2,perez,2,12,12,0
2013,2,button,2,13,13,0
2013,2,vergne,1,14,14,0
2013,2,bottas,0,15,15,0
2013,2,gutierrez,0,16,16,0
2013,2,jules_bianchi,0,17,17,0
2013,2,pic,0,18,18,0
2013,2,garde,0,19,19,0
2013,2,chilton,0,20,20,0
2013,2,ricciardo,0,21,21,0
2013,2,maldonado,0,22,22,0
2014,2,rosberg,43,1,1,1
2014,2,hamilton,25,2,2,1
2014,2,alonso,24,3,3,0
2014,2,button,23,4,4,0
2014,2,kevin_magnussen,20,5,5,0
2014,2,hulkenberg,18,6,6,0
2014,2,vettel,15,7,7,0
2014,2,bottas,14,8,8,0
2014,2,raikkonen,6,9,9,0
2014,2,massa,6,10,10,0
2014,2,vergne,4,11,11,0
2014,2,kvyat,3,12,12,0
2014,2,perez,1,13,13,0
2014,2,grosjean,0,14,14,0
2014,2,sutil,0,15,15,0
2014,2,gutierrez,0,16,16,0
2014,2,chilton,0,17,17,0
2014,2,kobayashi,0,18,18,0
2014,2,ericsson,0,19,19,0
2014,2,jules_bianchi,0,20,20,0
2014,2,maldonado,0,21,21,0
2014,2,ricciardo,0,22,22,0
2015,2,hamilton,43,1,1,1
2015,2,vettel,40,2,2,1
2015,2,rosberg,33,3,3,0
2015,2,massa,20,4,4,0
2015,2,raikkonen,12,5,5,0
2015,2,nasr,10,6,6,0
2015,2,bottas,10,7,7,0
2015,2,ricciardo,9,8,8,0
2015,2,hulkenberg,6,9,9,0
2015,2,max_verstappen,6,10,10,0
2015,2,sainz,6,11,11,0
2015,2,ericsson,4,12,12,0
2015,2,kvyat,2,13,13,0
2015,2,perez,1,14,14,0
2015,2,grosjean,0,15,15,0
2015,2,button,0,16,16,0
2015,2,merhi,0,17,17,0
2015,2,maldonado,0,18,18,0
2015,2,kevin_magnussen,0,19,19,0
2015,2,alonso,0,20,20,0
2015,2,stevens,0,21,21,0
2016,2,rosberg,50,1,1,2
2016,2,hamilton,33,2,2,0
2016,2,ricciardo,24,3,3,0
2016,2,raikkonen,18,4,4,0
2016,2,grosjean,18,5,5,0
2016,2,vettel,15,6,6,0
2016,2,massa,14,7,7,0
2016,2,max_verstappen,9,8,8,0
2016,2,hulkenberg,6,9,9,0
2016,2,kvyat,6,10,10,0
2016,2,bottas,6,11,11,0
2016,2,sainz,2,12,12,0
2016,2,vandoorne,1,13,13,0
2016,2,kevin_magnussen,0,14,14,0
2016,2,jolyon_palmer,0,15,15,0
2016,2,ericsson,0,16,16,0
2016,2,perez,0,17,17,0
2016,2,wehrlein,0,18,18,0
2016,2,nasr,0,19,19,0
2016,2,button,0,20,20,0
2016,2,haryanto,0,21,21,0
2016,2,gutierrez,0,22,22,0
2016,2,alonso,0,23,23,0
2017,2,vettel,43,1,1,1
2017,2,hamilton,43,2,2,1
2017,2,max_verstappen,25,3,3,0
2017,2,bottas,23,4,4,0
2017,2,raikkonen,22,5,5,0
2017,2,ricciardo,12,6,6,0
2017,2,sainz,10,7,7,0
2017,2,massa,8,8,8,0
2017,2,perez,8,9,9,0
2017,2,kevin_magnussen,4,10,10,0
2017,2,kvyat,2,11,11,0
2017,2,ocon,2,12,12,0
2017,2,hulkenberg,0,13,13,0
2017,2,grosjean,0,14,14,0
2017,2,giovinazzi,0,15,15,0
2017,2,vandoorne,0,16,16,0
2017,2,jolyon_palmer,0,17,17,0
2017,2,ericsson,0,18,18,0
2017,2,alonso,0,19,19,0
2017,2,stroll,0,20,20,0
2018,2,vettel,50,1,1,2
2018,2,hamilton,33,2,2,0
2018,2,bottas,22,3,3,0
2018,2,alonso,16,4,4,0
2018,2,raikkonen,15,5,5,0
2018,2,hulkenberg,14,6,6,0
2018,2,gasly,12,7,7,0
2018,2,ricciardo,12,8,8,0
2018,2,kevin_magnussen,10,9,9,0
2018,2,max_verstappen,8,10,10,0
2018,2,vandoorne,6,11,11,0
2018,2,ericsson,2,12,12,0
2018,2,sainz,1,13,13,0
2018,2,ocon,1,14,14,0
2018,2,perez,0,15,15,0
2018,2,leclerc,0,16,16,0
2018,2,grosjean,0,17,17,0
2018,2,stroll,0,18,18,0
2018,2,brendon_hartley,0,19,19,0
2018,2,sirotkin,0,20,20,0
2019,2,bottas,44,1,1,1
2019,2,hamilton,43,2,2,1
2019,2,max_verstappen,27,3,3,0
2019,2,leclerc,26,4,4,0
2019,2,vettel,22,5,5,0
2019,2,raikkonen,10,6,6,0
2019,2,norris,8,7,7,0
2019,2,kevin_magnussen,8,8,8,0
2019,2,hulkenberg,6,9,9,0
2019,2,gasly,4,10,10,0
2019,2,albon,2,11,11,0
2019,2,stroll,2,12,12,0
2019,2,kvyat,1,13,13,0
2019,2,perez,1,14,14,0
2019,2,giovinazzi,0,15,15,0
2019,2,russell,0,16,16,0
2019,2,kubica,0,17,17,0
2019,2,ricciardo,0,18,18,0
2019,2,grosjean,0,19,19,0
2019,2,sainz,0,20,20,0
2020,2,bottas,43,1,1,1
2020,2,hamilton,37,2,2,1
2020,2,norris,26,3,3,0
2020,2,leclerc,18,4,4,0
2020,2,perez,16,5,5,0
2020,2,max_verstappen,15,6,6,0
2020,2,sainz,13,7,7,0
2020,2,albon,12,8,8,0
2020,2,gasly,6,9,9,0
2020,2,stroll,6,10,10,0
2020,2,ocon,4,11,11,0
2020,2,ricciardo,4,12,12,0
2020,2,giovinazzi,2,13,13,0
2020,2,kvyat,1,14,14,0
2020,2,vettel,1,15,15,0
2020,2,latifi,0,16,16,0
2020,2,raikkonen,0,17,17,0
2020,2,kevin_magnussen,0,18,18,0
2020,2,grosjean,0,19,19,0
2020,2,russell,0,20,20,0
2021,2,hamilton,44,1,1,1
2021,2,max_verstappen,43,2,2,1
2021,2,norris,27,3,3,0
2021,2,leclerc,20,4,4,0
2021,2,bottas,16,5,5,0
2021,2,sainz,14,6,6,0
2021,2,ricciardo,14,7,7,0
2021,2,perez,10,8,8,0
2021,2,gasly,6,9,9,0
2021,2,stroll,5,10,10,0
2021,2,tsunoda,2,11,11,0
2021,2,ocon,2,12,12,0
2021,2,alonso,1,13,13,0
2021,2,raikkonen,0,14,14,0
2021,2,giovinazzi,0,15,15,0
2021,2,russell,0,16,16,0
2021,2,vettel,0,17,17,0
2021,2,mick_schumacher,0,18,18,0
2021,2,mazepin,0,19,19,0
2021,2,latifi,0,20,20,0
2022,2,leclerc,45,1,1,1
2022,2,sainz,33,2,2,0
2022,2,max_verstappen,25,3,3,1
2022,2,russell,22,4,4,0
2022,2,hamilton,16,5,5,0
2022,2,ocon,14,6,6,0
2022,2,perez,12,7,7,0
2022,2,kevin_magnussen,12,8,8,0
2022,2,bottas,8,9,9,0
2022,2,norris,6,10,10,0
2022,2,tsunoda,4,11,11,0
2022,2,gasly,4,12,12,0
2022,2,alonso,2,13,13,0
2022,2,zhou,1,14,14,0
2022,2,mick_schumacher,0,15,15,0
2022,2,stroll,0,16,16,0
2022,2,hulkenberg,0,17,17,0
2022,2,albon,0,18,18,0
2022,2,ricciardo,0,19,19,0
2022,2,latifi,0,20,20,0
2010,3,massa,39,1,1,0
2010,3,alonso,37,2,2,1
2010,3,vettel,37,3,3,1
2010,3,button,35,4,4,1
2010,3,rosberg,35,5,5,0
2010,3,hamilton,31,6,6,0
2010,3,kubica,30,7,7,0
2010,3,webber,24,8,8,0
2010,3,sutil,10,9,9,0
2010,3,michael_schumacher,9,10,10,0
2010,3,liuzzi,8,11,11,0
2010,3,barrichello,5,12,12,0
2010,3,alguersuari,2,13,13,0
2010,3,hulkenberg,1,14,14,0
2010,3,buemi,0,15,15,0
2010,3,rosa,0,16,16,0
2010,3,kovalainen,0,17,17,0
2010,3,chandhok,0,18,18,0
2010,3,grassi,0,19,19,0
2010,3,bruno_senna,0,20,20,0
2010,3,trulli,0,21,21,0
2010,3,glock,0,22,22,0
2010,3,petrov,0,23,23,0
2010,3,kobayashi,0,24,24,0
2011,3,vettel,68,1,1,2
2011,3,hamilton,47,2,2,1
2011,3,button,38,3,3,0
2011,3,webber,37,4,4,0
2011,3,alonso,26,5,5,0
2011,3,massa,24,6,6,0
2011,3,petrov,17,7,7,0
2011,3,heidfeld,15,8,8,0
2011,3,rosberg,10,9,9,0
2011,3,kobayashi,7,10,10,0
2011,3,michael_schumacher,6,11,11,0
2011,3,buemi,4,12,12,0
2011,3,sutil,2,13,13,0
2011,3,resta,2,14,14,0
2011,3,alguersuari,0,15,15,0
2011,3,trulli,0,16,16,0
2011,3,barrichello,0,17,17,0
2011,3,ambrosio,0,18,18,0
2011,3,kovalainen,0,19,19,0
2011,3,glock,0,20,20,0
2011,3,perez,0,21,21,0
2011,3,maldonado,0,22,22,0
2011,3,liuzzi,0,23,23,0
2011,3,karthikeyan,0,24,24,0
2012,3,hamilton,45,1,1,0
2012,3,button,43,2,2,1
2012,3,alonso,37,3,3,1
2012,3,webber,36,4,4,0
2012,3,vettel,28,5,5,0
2012,3,rosberg,25,6,6,1
2012,3,perez,22,7,7,0
2012,3,raikkonen,16,8,8,0
2012,3,bruno_senna,14,9,9,0
2012,3,kobayashi,9,10,10,0
2012,3,grosjean,8,11,11,0
2012,3,resta,7,12,12,0
2012,3,vergne,4,13,13,0
2012,3,maldonado,4,14,14,0
2012,3,ricciardo,2,15,15,0
2012,3,hulkenberg,2,16,16,0
2012,3,michael_schumacher,1,17,17,0
2012,3,massa,0,18,18,0
2012,3,glock,0,19,19,0
2012,3,pic,0,20,20,0
2012,3,petrov,0,21,21,0
2012,3,kovalainen,0,22,22,0
2012,3,rosa,0,23,23,0
2012,3,karthikeyan,0,24,24,0
2013,3,vettel,52,1,1,1
2013,3,raikkonen,49,2,2,1
2013,3,alonso,43,3,3,1
2013,3,hamilton,40,4,4,0
2013,3,massa,30,5,5,0
2013,3,webber,26,6,6,0
2013,3,rosberg,12,7,7,0
2013,3,button,12,8,8,0
2013,3,grosjean,11,9,9,0
2013,3,resta,8,10,10,0
2013,3,ricciardo,6,11,11,0
2013,3,sutil,6,12,12,0
2013,3,hulkenberg,5,13,13,0
2013,3,perez,2,14,14,0
2013,3,vergne,1,15,15,0
2013,3,bottas,0,16,16,0
2013,3,gutierrez,0,17,17,0
2013,3,jules_bianchi,0,18,18,0
2013,3,pic,0,19,19,0
2013,3,maldonado,0,20,20,0
2013,3,garde,0,21,21,0
2013,3,chilton,0,22,22,0
2014,3,rosberg,61,1,1,1
2014,3,hamilton,50,2,2,2
2014,3,hulkenberg,28,3,3,0
2014,3,alonso,26,4,4,0
2014,3,button,23,5,5,0
2014,3,vettel,23,6,6,0
2014,3,kevin_magnussen,20,7,7,0
2014,3,bottas,18,8,8,0
2014,3,perez,16,9,9,0
2014,3,ricciardo,12,10,10,0
2014,3,massa,12,11,11,0
2014,3,raikkonen,7,12,12,0
2014,3,vergne,4,13,13,0
2014,3,kvyat,3,14,14,0
2014,3,grosjean,0,15,15,0
2014,3,sutil,0,16,16,0
2014,3,gutierrez,0,17,17,0
2014,3,chilton,0,18,18,0
2014,3,kobayashi,0,19,19,0
2014,3,maldonado,0,20,20,0
2014,3,ericsson,0,21,21,0
2014,3,jules_bianchi,0,22,22,0
2015,3,hamilton,68,1,1,2
2015,3,vettel,55,2,2,1
2015,3,rosberg,51,3,3,0
2015,3,massa,30,4,4,0
2015,3,raikkonen,24,5,5,0
2015,3,bottas,18,6,6,0
2015,3,nasr,14,7,7,0
2015,3,ricciardo,11,8,8,0
2015,3,grosjean,6,9,9,0
2015,3,hulkenberg,6,10,10,0
2015,3,max_verstappen,6,11,11,0
2015,3,sainz,6,12,12,0
2015,3,ericsson,5,13,13,0
2015,3,kvyat,2,14,14,0
2015,3,perez,1,15,15,0
2015,3,button,0,16,16,0
2015,3,alonso,0,17,17,0
2015,3,merhi,0,18,18,0
2015,3,stevens,0,19,19,0
2015,3,maldonado,0,20,20,0
2015,3,kevin_magnussen,0,21,21,0
2016,3,rosberg,75,1,1,3
2016,3,hamilton,39,2,2,0
2016,3,ricciardo,36,3,3,0
2016,3,vettel,33,4,4,0
2016,3,raikkonen,28,5,5,0
2016,3,massa,22,6,6,0
2016,3,kvyat,21,7,7,0
2016,3,grosjean,18,8,8,0
2016,3,max_verstappen,13,9,9,0
2016,3,bottas,7,10,10,0
2016,3,hulkenberg,6,11,11,0
2016,3,sainz,4,12,12,0
2016,3,vandoorne,1,13,13,0
2016,3,kevin_magnussen,0,14,14,0
2016,3,perez,0,15,15,0
2016,3,jolyon_palmer,0,16,16,0
2016,3,ericsson,0,17,17,0
2016,3,alonso,0,18,18,0
2016,3,button,0,19,19,0
2016,3,wehrlein,0,20,20,0
2016,3,nasr,0,21,21,0
2016,3,gutierrez,0,22,22,0
2016,3,haryanto,0,23,23,0
2017,3,vettel,68,1,1,2
2017,3,hamilton,61,2,2,1
2017,3,bottas,38,3,3,0
2017,3,raikkonen,34,4,4,0
2017,3,max_verstappen,25,5,5,0
2017,3,ricciardo,22,6,6,0
2017,3,massa,16,7,7,0
2017,3,perez,14,8,8,0
2017,3,sainz,10,9,9,0
2017,3,grosjean,4,10,10,0
2017,3,kevin_magnussen,4,11,11,0
2017,3,ocon,3,12,12,0
2017,3,hulkenberg,2,13,13,0
2017,3,kvyat,2,14,14,0
2017,3,wehrlein,0,15,15,0
2017,3,giovinazzi,0,16,16,0
2017,3,jolyon_palmer,0,17,17,0
2017,3,vandoorne,0,18,18,0
2017,3,alonso,0,19,19,0
2017,3,ericsson,0,20,20,0
2017,3,stroll,0,21,21,0
2018,3,vettel,54,1,1,2
2018,3,hamilton,45,2,2,0
2018,3,bottas,40,3,3,0
2018,3,ricciardo,37,4,4,1
2018,3,raikkonen,30,5,5,0
2018,3,alonso,22,6,6,0
2018,3,hulkenberg,22,7,7,0
2018,3,max_verstappen,18,8,8,0
2018,3,gasly,12,9,9,0
2018,3,kevin_magnussen,11,10,10,0
2018,3,vandoorne,6,11,11,0
2018,3,sainz,3,12,12,0
2018,3,ericsson,2,13,13,0
2018,3,ocon,1,14,14,0
2018,3,perez,0,15,15,0
2018,3,leclerc,0,16,16,0
2018,3,grosjean,0,17,17,0
2018,3,stroll,0,18,18,0
2018,3,sirotkin,0,19,19,0
2018,3,brendon_hartley,0,20,20,0
2019,3,hamilton,68,1,1,2
2019,3,bottas,62,2,2,1
2019,3,max_verstappen,39,3,3,0
2019,3,vettel,37,4,4,0
2019,3,leclerc,36,5,5,0
2019,3,gasly,13,6,6,0
2019,3,raikkonen,12,7,7,0
2019,3,norris,8,8,8,0
2019,3,kevin_magnussen,8,9,9,0
2019,3,hulkenberg,6,10,10,0
2019,3,ricciardo,6,11,11,0
2019,3,perez,5,12,12,0
2019,3,albon,3,13,13,0
2019,3,stroll,2,14,14,0
2019,3,kvyat,1,15,15,0
2019,3,giovinazzi,0,16,16,0
2019,3,grosjean,0,17,17,0
2019,3,sainz,0,18,18,0
2019,3,russell,0,19,19,0
2019,3,kubica,0,20,20,0
2020,3,hamilton,63,1,1,2
2020,3,bottas,58,2,2,1
2020,3,max_verstappen,33,3,3,0
2020,3,norris,26,4,4,0
2020,3,albon,22,5,5,0
2020,3,perez,22,6,6,0
2020,3,leclerc,18,7,7,0
2020,3,stroll,18,8,8,0
